name    target    f1    f2    f3    f4    f5    f6    iz1    iz2    iz3    iz4    iz5    iz6
bridge-10-234    0.04976    -718.94378    -650.89137    -32.90452    54.16364    174.85264    2818.95172    0.08522    0.54571    0.00137    0.01674    0.11089    220.78805
bridge-10-235    0.07615    -725.43602    -657.58737    -56.61486    53.37345    166.51464    2825.47151    0.3711    0.8825    0.00363    8.50E-04    0.04149    215.55786
bridge-10-236    0.031    -711.60044    -651.31194    36.51579    45.0187    188.00627    2810.89016    0.01299    0.14299    0.0049    0.0359    0.29329    196.56225
bridge-10-237    0.08538    -728.71502    -663.37807    -61.03047    50.14795    165.73197    2824.60878    0.50273    0.74778    0.00448    2.00E-06    0.03794    206.6318
bridge-10-238    0.06696    -724.07934    -654.64273    -50.70392    54.89749    168.75219    2823.77405    0.18356    0.88753    0.00216    0.00394    0.05451    220.4464
bridge-10-239    0.03603    -714.9631    -651.44164    23.05011    48.94257    183.50561    2815.5192    0.02089    0.26325    9.29E-04    0.03281    0.22191    207.32449
bridge-10-24    0.03359    -696.28626    -634.54554    -66.20622    69.29598    333.46381    2802.67848    0.01436    0.54613    0.04995    0.09479    1.00526    61.08636
bridge-10-240    0.08503    -729.40944    -662.56455    -60.82848    50.59059    165.93642    2824.86804    0.42325    0.7632    0.00367    5.00E-06    0.03801    206.72703
bridge-10-241    0.05809    -721.88606    -651.98182    -43.17017    55.05684    171.67689    2817.89226    0.10424    0.75253    0.00137    0.00948    0.07746    222.0169
bridge-10-242    0.07593    -726.87799    -657.77289    -56.37377    53.66513    166.95538    2825.35878    0.26111    0.89869    0.00262    9.21E-04    0.0422    215.12759
bridge-10-243    0.04244    -717.89126    -653.02603    -17.57021    52.34465    179.38544    2815.49562    0.02684    0.39168    7.71E-04    0.02514    0.16162    215.12042
bridge-10-244    0.08473    -730.0684    -661.72635    -60.62275    50.979    166.16156    2825.48345    0.34719    0.77767    0.0029    9.00E-06    0.03815    206.75851
bridge-10-245    0.06688    -725.91005    -654.53874    -50.41643    55.07018    169.36438    2823.81847    0.10587    0.89396    0.00126    0.0041    0.05574    219.76085
bridge-10-246    0.07578    -728.39465    -657.81853    -56.10858    53.90821    167.40656    2824.91084    0.16888    0.91345    0.00174    9.82E-04    0.04291    214.70528
bridge-10-247    0.04239    -701.59369    -655.86053    55.88883    77.16831    226.99149    2798.45237    1.31E-04    0.19051    0.04234    0.00393    0.64761    60.75894
bridge-10-248    0.04976    -720.48514    -650.75057    -33.29732    54.20745    175.48849    2819.40222    0.03762    0.55607    7.25E-04    0.0171    0.11312    219.89853
bridge-10-249    0.08449    -730.91546    -661.05708    -60.42255    51.31506    166.40082    2826.15338    0.2728    0.79455    0.0022    1.30E-05    0.03834    206.73337
bridge-10-25    0.02696    -682.7539    -648.74801    15.20304    76.55292    224.53016    2808.91532    0.00842    0.26571    0.02684    0.13141    0.41612    155.3133
bridge-10-250    0.09506    -732.68074    -669.92834    -63.95972    43.94921    166.89321    2831.16765    0.40096    0.44586    0.00294    2.02E-04    0.04442    192.30912
bridge-10-251    0.03729    -701.92458    -654.28653    64.00477    71.8798    229.43108    2801.98671    5.70E-05    0.18634    0.06756    0.00105    0.64489    77.42192
bridge-10-252    0.09464    -732.71086    -669.43193    -63.86821    44.46482    166.82251    2830.86107    0.38466    0.47403    0.00285    2.06E-04    0.0438    192.99438
bridge-10-253    0.03255    -703.38203    -659.73655    -32.3876    63.39417    206.51395    2803.3596    3.27E-04    0.12152    0.03361    0.01076    0.63303    96.57277
bridge-10-254    0.09425    -732.80701    -668.9456    -63.77308    44.9585    166.76967    2830.47137    0.36439    0.50106    0.00272    2.08E-04    0.04323    193.62474
bridge-10-255    0.02992    -704.42898    -658.45825    28.34134    58.94156    206.67967    2805.00396    4.95E-04    0.07488    0.04818    0.00839    0.5913    113.97975
bridge-10-256    0.09387    -732.94262    -668.46638    -63.67427    45.42788    166.73455    2830.03717    0.34088    0.52646    0.00256    2.09E-04    0.04273    194.19829
bridge-10-257    0.02709    -705.52181    -656.50205    28.2735    54.92537    204.1534    2804.34612    2.29E-04    0.0212    0.05251    0.00895    0.54427    133.61292
bridge-10-258    0.09351    -733.08764    -667.99791    -63.57227    45.87107    166.71668    2829.59608    0.31486    0.54976    0.00236    2.09E-04    0.04228    194.71416
bridge-10-259    0.0255    -706.51604    -651.59092    39.1412    52.38629    201.68871    2809.17012    4.62E-04    9.20E-05    0.05911    0.00318    0.49915    151.6228
